variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Precipitation Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,%,%,%,hPa,hPa,hPa,mm,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,MSL,MSL,MSL,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation,Minimum,Maximum,Mean,None
timestamp,Bázel Temperature [2 m elevation corrected],Bázel Temperature [2 m elevation corrected],Bázel Temperature [2 m elevation corrected],Bázel Relative Humidity [2 m],Bázel Relative Humidity [2 m],Bázel Relative Humidity [2 m],Bázel Mean Sea Level Pressure [MSL],Bázel Mean Sea Level Pressure [MSL],Bázel Mean Sea Level Pressure [MSL],Bázel Precipitation Total,Bázel Wind Speed [10 m],Bázel Wind Speed [10 m],Bázel Wind Speed [10 m],Bázel Wind Direction Dominant [10 m]
20100101T0000,1.3405286,6.5705285,4.5146947,86.0,95.0,90.416664,990.0,1004.7,994.47076,2.7,3.6,30.096085,12.250545,316.3875
20100102T0000,-2.9594715,0.8905287,-0.97238797,58.0,88.0,74.583336,1006.3,1023.9,1017.6375,0.0,14.76439,41.476624,26.46636,277.8863
20100103T0000,-3.1394715,1.9105287,-0.8186381,54.0,86.0,70.125,1017.5,1024.1,1020.77496,0.0,1.08,15.815435,6.364649,165.0992
20100104T0000,-5.4994717,-0.25947133,-3.2815552,58.0,97.0,83.708336,1013.7,1019.1,1016.1834,0.0,0.71999997,10.495713,5.4365764,340.83054
20100105T0000,-7.1094713,-0.41947132,-3.2798882,67.0,95.0,84.208336,1001.6,1013.2,1006.7376,0.0,0.0,12.43434,5.978685,339.09204
20100106T0000,-4.1294713,1.1705287,-2.0103047,57.0,95.0,82.0,1001.0,1005.1,1002.85834,0.2,0.35999998,22.206486,9.235818,289.85254
20100107T0000,-2.7694714,4.2505283,-0.01238814,47.0,100.0,81.791664,1005.5,1009.1,1006.9041,0.0,2.8799999,15.94601,10.361574,135.70297
20100108T0000,-2.2494714,2.9105287,-0.41822132,69.0,97.0,84.333336,1002.7,1010.9,1005.9084,4.2,2.1897945,33.371437,20.039835,32.760742
20100109T0000,-3.0494714,-0.059471346,-1.6990548,65.0,96.0,82.5,1002.4,1006.7,1003.70416,5.8999996,9.3669195,28.08923,18.277567,18.466568
20100110T0000,-4.8694715,-1.2994714,-3.3365552,72.0,95.0,87.083336,1004.4,1016.2,1011.90424,0.4,2.3051248,25.683926,13.811226,309.38153
20100111T0000,-7.7394714,-1.6194713,-4.035721,74.0,93.0,87.208336,1015.9,1018.1,1016.81665,0.0,0.0,8.714677,5.492664,274.3552
20100112T0000,-4.7794714,1.3705287,-2.0982213,71.0,95.0,86.708336,1006.3,1019.4,1013.6917,0.0,1.2979984,23.051247,12.478915,124.29013
20100113T0000,-1.2494713,4.2805285,1.5334454,84.0,97.0,91.25,1004.8,1008.9,1006.5334,2.4,2.1897945,25.759504,14.140407,133.75671
20100114T0000,-0.6794713,4.6605287,1.5355287,79.0,100.0,88.958336,1005.7,1011.1,1007.8127,0.0,3.2599385,17.22742,9.952256,114.55549
20100115T0000,-1.1594714,5.4905286,1.6734451,66.0,99.0,84.541664,1011.9,1025.5,1020.28326,0.0,0.35999998,10.464797,4.852268,289.91064
20100116T0000,-2.5894713,6.9805284,2.7155285,64.0,96.0,78.833336,1013.6,1025.7,1019.49164,2.3,4.2136917,32.32992,15.784352,130.60886
20100117T0000,3.2905285,7.5805287,6.213445,73.0,85.0,79.0,1013.5,1026.2,1018.96246,1.0,12.496718,38.344646,25.213675,250.36972
20100118T0000,3.5505285,6.3405285,4.6213617,80.0,94.0,86.458336,1025.7,1028.5,1027.325,0.0,0.0,11.792404,4.598946,211.73354
20100119T0000,-1.3594713,5.5005283,1.8976117,73.0,96.0,89.791664,1020.0,1026.9,1023.1958,0.0,2.0991426,10.495713,6.841217,72.5672
20100120T0000,-3.2694714,6.4105287,1.8871952,65.0,95.0,82.208336,1012.3,1019.8,1015.5249,1.1,1.0182338,17.551615,8.748488,115.51615
20100121T0000,0.60052866,6.3205285,4.1155286,77.0,96.0,85.708336,1015.6,1024.4,1021.0083,0.0,2.52,16.981165,9.622958,268.14844
20100122T0000,-0.43947133,5.8605285,2.3026118,75.0,97.0,88.291664,1023.6,1025.4,1024.4209,0.0,2.8116899,12.57426,7.0125904,101.019684
20100123T0000,-2.7094715,6.4005284,0.9905286,63.0,96.0,84.291664,1021.8,1025.7,1023.51263,0.0,3.9763298,23.03156,10.965358,113.19859
20100124T0000,-0.42947134,7.2505283,3.3759453,71.0,97.0,87.041664,1021.9,1023.6,1022.89996,0.1,0.0,8.891343,5.024606,81.77327
20100125T0000,-0.26947135,4.7005286,2.5384452,81.0,96.0,88.708336,1022.5,1030.8,1026.4166,1.6000001,1.484318,20.570463,11.721364,299.24542
20100126T0000,-2.4594715,2.0405285,-0.40322137,67.0,96.0,84.875,1028.6,1031.6,1030.3207,1.5,3.096837,26.89419,18.745451,31.023682
20100127T0000,-5.1494713,1.0805286,-1.7823879,63.0,90.0,74.75,1018.8,1032.1,1027.2083,0.0,3.0758414,26.64,12.239036,33.46071
20100128T0000,-1.9594713,1.6105287,0.16594534,54.0,88.0,73.75,1006.8,1018.5,1012.2336,0.7,16.171976,49.044632,36.18472,266.694
20100129T0000,0.66052866,4.5805287,2.337612,65.0,90.0,76.166664,984.8,1006.4,995.10834,0.90000004,12.819235,42.195316,29.886286,246.69467
20100130T0000,-3.0494714,0.87052864,-0.6090546,69.0,97.0,82.541664,989.5,1001.5,996.3874,1.9000001,15.596767,32.6411,25.554436,282.70105
20100131T0000,-5.2894716,1.4605286,-2.1673882,66.0,95.0,80.458336,1002.0,1012.3,1008.03345,0.4,5.0142193,39.325775,23.03974,267.21875
20100201T0000,-5.2894716,2.4305286,-1.9632215,60.0,95.0,78.916664,1012.7,1018.4,1014.7583,1.7,5.0911684,56.110363,24.28015,248.12653
20100202T0000,-1.9994713,4.3405285,1.298862,62.0,88.0,73.375,1011.9,1022.4,1017.97504,0.3,12.096214,48.245373,31.278473,243.70491
20100203T0000,2.9205287,7.1605287,4.9459453,75.0,84.0,78.083336,1010.8,1016.1,1013.6458,6.8,7.5599995,52.12049,35.34736,242.54758
20100204T0000,-1.6694714,9.030529,4.357612,57.0,96.0,74.541664,1009.9,1017.1,1013.7126,0.0,5.8048253,21.120682,11.737399,121.05223
20100205T0000,2.2405286,7.9205284,4.9751124,56.0,96.0,81.083336,1007.6,1012.1,1009.33746,11.100001,3.0547013,19.8,10.703273,210.7169
20100206T0000,1.8105286,7.2005286,4.404279,69.0,91.0,82.125,1010.0,1014.2,1011.4875,2.6,3.219938,12.904882,7.26176,167.999
20100207T0000,-0.11947135,5.3305287,2.702196,77.0,100.0,90.833336,1014.9,1020.1,1017.62067,1.6000001,1.835647,15.84,8.48926,342.65308
20100208T0000,-3.1394715,4.8805285,0.9663618,65.0,95.0,82.458336,1003.7,1016.6,1008.89996,0.0,1.609969,15.546833,7.9431577,91.010994
20100209T0000,-1.9494714,5.4705286,2.0221953,65.0,90.0,77.208336,1000.8,1003.5,1002.26666,0.0,6.6185193,17.399586,12.132793,51.702972
20100210T0000,-4.6294713,0.23052865,-2.7828045,58.0,94.0,77.958336,1003.3,1009.2,1007.3874,0.90000004,0.35999998,34.92742,25.835358,357.01782
20100211T0000,-6.4194713,0.92052865,-2.2682211,65.0,84.0,75.125,1001.7,1008.4,1004.84174,0.0,5.1919937,31.435646,21.05925,26.906082
20100212T0000,-3.8594716,1.1105287,-1.112388,55.0,94.0,73.041664,1005.5,1014.3,1011.21674,1.3000001,2.968636,23.068108,12.461978,31.272522
20100213T0000,-4.8894715,1.9205287,-1.446555,64.0,92.0,79.708336,1012.6,1016.2,1014.08746,0.0,0.71999997,12.261157,6.639665,73.934944
20100214T0000,-4.8494716,4.1705284,-0.989888,51.0,96.0,76.208336,1011.5,1015.1,1013.4375,0.0,0.8049845,10.144082,4.576238,304.67642
20100215T0000,-5.3594713,2.2405286,-1.8511382,63.0,92.0,79.958336,1006.8,1012.1,1009.5334,0.0,1.9386592,9.3876505,5.132437,129.32964
20100216T0000,-4.6494713,6.6205287,0.77302843,56.0,91.0,76.083336,998.9,1007.9,1002.8416,0.0,3.219938,15.94601,9.570615,116.96854
20100217T0000,0.8305287,6.5105286,3.5159454,79.0,95.0,85.541664,992.8,999.2,995.3249,5.7999997,5.2416787,16.79314,10.945087,117.5989
20100218T0000,2.8505285,10.140529,6.4509454,69.0,97.0,82.958336,994.8,1001.6,998.97076,1.3000001,2.1897945,14.404499,8.752873,119.13428
20100219T0000,2.2705286,6.3105288,4.869695,78.0,95.0,87.875,992.6,1000.2,995.8249,2.8999999,3.671294,21.322214,12.8558,289.0608
20100220T0000,0.12052866,6.4305286,2.7196953,54.0,89.0,76.291664,1000.6,1005.7,1002.304,0.3,2.4149535,29.601109,12.640058,254.2612
20100221T0000,0.5705287,9.830529,4.569695,52.0,83.0,71.833336,1000.4,1006.9,1003.3584,0.0,5.3999996,22.89611,14.947827,213.99197
20100222T0000,2.5905285,14.700529,8.419279,55.0,86.0,71.5,993.4,1000.4,996.04584,0.4,6.87779,22.45315,12.513535,189.97849
20100223T0000,7.3105288,13.120529,9.822612,64.0,80.0,72.333336,994.7,1001.1,997.0959,0.5,6.28713,28.58545,17.621733,225.95361
20100224T0000,4.9305286,13.260529,8.845529,62.0,91.0,78.416664,1000.9,1004.6,1002.4959,1.5,5.154415,19.33639,9.914324,186.7988
